Type,Filename,Time(s),Charge(uC),Ip(nA),FWHM(eV),Chi^2,SiK,P K,S K,ClK,K K,CaK,TiK,V K,CrK,MnK,FeK,CoK,NiK,CuK,ZnK,AsK,BrK,RbK,SrK,ZrK,BrL,RbL,SrL,ZrL,SnL,SbL,BaL,PbL,PbMA
Conc(ppm),356022.spo,0,0.3,0,181.3,1.885,267716,,,3715,94660,20074,627,,,1306,935.8,,,52.95,,1480,,,220.7,,,159901,,,,,,254741,
Conc(ppm),356023.spo,0,0.3,0,180.2,2.032,354395,,866.1,13819,40031,95641,2409,,,14486,11594,,31.59,113.1,71.67,55.4,54.21,,516.7,,,,,4481,2271,,334.9,,
Conc(ppm),356024.spo,0,0.3,0,179.9,1.694,344714,,866.9,11815,66618,105424,1684,,,4851,7389,,26.22,19.36,78.77,,78.39,,467.7,,,,,,,,217.4,,
Conc(ppm),356025.spo,0,0.3,0,179.8,2.007,324779,,843.4,9638,99395,113451,534.3,,,250.7,5665,,,,94.3,105.5,50.16,78.59,1003,,,208784,,,,,139.6,3614,
Conc(ppm),356026.spo,0,0.3,0,181.1,1.721,365976,,721.1,16959,42139,98162,459.7,,,228.1,4930,,24.8,15.4,80.62,,49.76,,395.4,,,,,4270,,,,,
Conc(ppm),356027.spo,0,0.3,0,181.1,2.016,373611,,774.6,11943,46167,87307,371.1,,,1976,3315,,27.91,,43.87,12.17,40,,567.7,,,,,,,,127.7,,
Conc(ppm),356028.spo,0,0.3,0,179.3,1.942,357872,,1285,11574,59381,75308,1597,,,10454,12487,166.2,90.72,88.93,140.9,337.9,,88.82,730.2,,,,,4105,2743,,854.9,635.1,
Conc(ppm),356029.spo,0,0.3,0,178.9,2.187,358476,,1158,13653,54592,84834,1119,,,6848,8729,115.6,60.87,23.29,84.71,115,71.62,,1056,,,,,,2462,,415.7,3274,
Conc(ppm),356030.spo,0,0.3,0,179.1,1.854,376610,,1111,15119,48389,68236,1001,,,4111,7183,76.28,25.96,103.7,65.83,77.25,47.7,,748.9,,,,,,2649,,217.5,502.7,
Conc(ppm),356031.spo,0,0.3,0,179.5,1.932,355009,,894.4,12950,69311,84335,1577,,,6242,7663,50.09,26.36,28.63,58.34,161.7,96.38,66.48,597.4,,,,,,,,563.9,351.5,
Conc(ppm),356032.spo,0,0.3,0,179.1,3.019,363975,,1304,13450,58513,78898,1350,,,5708,8477,65.01,37.24,26.71,74.16,124.5,83.78,57.18,597.2,,,,,,,,416.6,341,
Conc(ppm),356033.spo,0,0.3,0,180.1,1.661,372118,,998.4,15080,51094,78546,791.8,,21.43,288.4,7942,,25.44,,143.2,,95.79,,579.1,,,145573,,,,,204.6,611.6,
Conc(ppm),356034.spo,0,0.3,0,177.6,2.027,342034,,721.9,10613,61779,122286,689.3,,,245.6,5121,,45.02,26,64.91,,,66.01,1140,,,152867,,,,,,,
Conc(ppm),356035.spo,0,0.3,0,180.1,1.818,365574,,654.3,17266,42463,98680,474.4,,,232.6,4980,,,18.63,77.9,,51.04,,380.5,,,,,4796,,,,,
Conc(ppm),356036.spo,0,0.3,0,178.8,2.181,353862,4055,617.5,13680,39051,92411,2288,,,14071,11157,,23.44,107.4,56.83,41.32,40.19,49.31,637.3,,,,,,,,459.6,,
Conc(ppm),356037.spo,0,0.3,0,178.9,1.74,374390,,1591,13215,46481,71946,1140,,,4950,9101,86.85,36.65,30.82,91.89,114.1,105.3,,510.8,,,,,,,,355.3,508.3,
Conc(ppm),356038.spo,0,0.3,0,179.5,1.761,374410,,1461,13571,46338,71517,1121,,,4884,9016,72.67,32.65,21.59,101.8,99.03,80.33,,595.3,,,,,,2098,,300.4,672.3,
Conc(ppm),356039.spo,0,0.3,0,180,2.159,359075,,1070,16929,47586,89485,1131,,,7605,8456,56.3,28.08,24.71,79.84,,,,859.3,,,,,,2337,,385.9,1142,
