Type,Filename,Time(s),Charge(uC),Ip(nA),FWHM(eV),Chi^2,NaK,MgK,AlK,SiK,P K,S K,ClK,K K,CaK,TiK,V K,CrK,MnK,FeK,CoK,NiK,CuK,ZnK,CuL,SrL,SnL,BaL,PbL,PbMA
Conc(ppm),359025.spo,0,0.3,0,176.6,0.456,2269,754.6,9831,274517,0,1045,1841,80802,17246,528.8,0,54.96,827.8,540.1,0,0,0,0,840.8,13629,5440,327.4,220315,254874
Conc(ppm),359026.spo,0,0.3,0,182.6,0.523,99340,21525,24725,282882,2471,337.5,8862,25709,61044,1447,0,473.4,8706,8574,0,0,0,0,0,10707,3899,511.6,0,390.2
Conc(ppm),359027.spo,0,0.3,0,184.2,0.375,113055,17160,37345,266064,957.3,492,7177,41328,63134,650.8,126,90.76,2360,4722,0,0,0,0,0,10448,3496,1047,0,0
Conc(ppm),359028.spo,0,0.3,0,181.8,0.282,75367,16725,8210,297955,1418,432.2,6335,66957,72261,206.2,104.9,0,274.3,3333,0,0,0,0,0,11528,3955,389.8,0,2870
Conc(ppm),359029.spo,0,0.3,0,180.8,0.281,127587,9649,9257,294477,2901,289,10804,27450,62091,81.23,49.1,122.1,104.9,3422,0,0,0,0,0,11471,3739,218.5,0,45.76
Conc(ppm),359030.spo,0,0.3,0,179.2,0.338,97306,20310,7813,309528,1203,474.3,7903,31810,58905,168.2,0,0,1134,2662,0,0,0,0,0,13321,2145,201.4,0,0
Conc(ppm),359031.spo,0,0.3,0,183.2,0.269,112371,17850,20774,283584,2535,556.1,7174,39876,48423,959.7,0,0,6496,8134,393.8,0,0,0,0,12130,2215,959.2,0,320.3
Conc(ppm),359035.spo,0,0.3,0,180.3,0.294,132360,20254,14990,287494,1119,586.6,7965,29355,45003,469,60.6,198.6,2699,5655,0,0,0,0,0,11487,4316,474.7,0,930
Conc(ppm),359036.spo,0,0.3,0,179.7,0.557,112993,17591,22522,281887,1211,561.9,8256,45982,54640,1114,0,0,4091,4788,0,0,0,0,0,10644,0,382.4,0,0
Conc(ppm),359037.spo,0,0.3,0,180,0.335,118044,15684,11223,301704,1345,597.5,9609,32737,45343,548.2,0,0,2627,4545,0,0,0,0,0,12666,2947,583.9,0,0
Conc(ppm),359038.spo,0,0.3,0,182,0.399,127861,14186,17428,279742,1792,598.6,8682,35289,52951,663.6,0,246.5,3891,5420,0,0,0,0,0,11112,5784,0,6291,2449
Conc(ppm),359039.spo,0,0.3,0,183.1,0.304,106613,16839,8781,310419,1188,528.6,9534,32390,47546,320.9,0,349.3,0,5762,0,0,0,0,0,11148,2914,0,0,893.4
Conc(ppm),359040.spo,0,0.3,0,182.1,0.284,78313,19420,9631,300426,1139,451,6952,42159,83080,516.1,0,0,171.3,3553,290.5,0,0,0,0,11832,2179,0,0,64.12
Conc(ppm),359041.spo,0,0.3,0,183.9,0.339,123050,9401,9306,297698,2859,138.8,10641,29509,65436,166.4,0,68.69,76.93,2826,0,0,0,0,0,9095,2545,381.4,0,526.9
Conc(ppm),359042.spo,0,0.3,0,183.7,0.448,97299,21471,25141,282430,2799,452.7,8625,27065,63324,1152,60.93,79.15,8892,7378,0,0,0,482.7,0,9690,4002,706,0,0
Conc(ppm),359043.spo,0,0.3,0,179.7,0.431,134288,20431,15979,287336,1238,772.5,7390,28640,42701,706.6,0,0,2666,5730,340.8,0,0,0,0,12807,2634,285.8,0,672.4
Conc(ppm),359044.spo,0,0.3,0,179.5,0.556,136163,21031,15786,286879,1012,726.4,7796,28219,41847,393.3,138.4,137.5,2561,5152,429.6,0,0,0,0,10373,5324,347.2,0,631.4
Conc(ppm),359045.spo,0,0.3,0,186.1,0.496,138748,15974,13768,277079,1513,422.8,10212,30146,54795,746.4,0,347.4,4633,5132,524.4,0,0,0,0,11406,6743,0,0,1210
